Code,KB,Sales,Month,Year
44814,Family clothing stores,6322,1,2018
44819,Other clothing stores,1220,1,2018
4482,Shoe stores,2076,1,2018
44831,Jewelry stores,1849,1,2018
451,"Sporting goods, hobby, musical instrument, and book stores",5964,1,2018
45111,Sporting goods stores,2816,1,2018
45112,"Hobby, toy, and game stores",1187,1,2018
451211,Book stores,1219,1,2018
452,General merchandise stores,50594,1,2018
4521,Department stores,9120,1,2018
452111,Department stores(excl. discount department stores),2638,1,2018
452112,Discount dept. stores,6482,1,2018
4529,Other general merchandise stores,41474,1,2018
45291,Warehouse clubs and superstores,35948,1,2018
45299,All other gen. merchandise stores,5526,1,2018
453,Miscellaneous store retailers,9472,1,2018
4532,"Office supplies, stationery, and gift stores",2144,1,2018
45321,Office supplies and stationery stores,1067,1,2018
45322,"Gift, novelty, and souvenir stores",1077,1,2018
45330,Used merchandise stores,1313,1,2018
454,Nonstore retailers,53006,1,2018
4541,Electronic shopping and mail-order houses,43140,1,2018
45431,Fuel dealers,5831,1,2018
722,Food services and drinking places,54478,1,2018
7224,Drinking places,2033,1,2018
7225,Restaurants and other eating places,47791,1,2018
722511,Full service restaurants,24145,1,2018
"722513, 722514, 722515",Limited service eating places,23646,1,2018
441,Motor vehicle and parts dealers,85187,1,2017
"44,114,412",Automobile and other motor vehicle dealers,78171,1,2017
4411,Automobile dealers,74592,1,2017
44111,New car dealers,65936,1,2017
44112,Used car dealers,8656,1,2017
4413,"Automotive parts, acc., and tire stores",7016,1,2017
"442,443","Furniture, home furn, electronics, and appliance stores",15441,1,2017
442,Furniture and home furnishings stores,8407,1,2017
4421,Furniture stores,4646,1,2017
4422,Home furnishings stores,3761,1,2017
44221,Floor covering stores,1459,1,2017
442299,All other home furnishings stores,2181,1,2017
443,Electronics and appliance stores,7034,1,2017
443141,Household appliance stores,1302,1,2017
443142,Electronics stores,5732,1,2017
444,Building mat. and garden equip. and supplies dealers,22389,1,2017
4441,Building mat. and supplies dealers,20256,1,2017
44412,Paint and wallpaper stores,747,1,2017
44413,Hardware stores,1781,1,2017
445,Food and beverage stores,57800,1,2017
4451,Grocery stores,52552,1,2017
44511,Supermarkets and other grocery (except convenience) stores,50497,1,2017
4453,"Beer, wine, and liquor stores",3578,1,2017
446,Health and personal care stores,25715,1,2017
44611,Pharmacies and drug stores,21723,1,2017
447,Gasoline stations,35924,1,2017
448,Clothing and clothing access. stores,15907,1,2017
4481,Clothing stores,11843,1,2017
44811,Men's clothing stores,622,1,2017
44812,Women's clothing stores,2373,1,2017
44814,Family clothing stores,6024,1,2017
44819,Other clothing stores,1502,1,2017
4482,Shoe stores,2143,1,2017
44831,Jewelry stores,1742,1,2017
451,"Sporting goods, hobby, musical instrument, and book stores",6215,1,2017
45111,Sporting goods stores,2955,1,2017
45112,"Hobby, toy, and game stores",1182,1,2017
451211,Book stores,1380,1,2017
452,General merchandise stores,49906,1,2017
4521,Department stores,9386,1,2017
452111,Department stores(excl. discount department stores),2847,1,2017
452112,Discount dept. stores,6539,1,2017
4529,Other general merchandise stores,40520,1,2017
45291,Warehouse clubs and superstores,35225,1,2017
45299,All other gen. merchandise stores,5295,1,2017
453,Miscellaneous store retailers,8654,1,2017
4532,"Office supplies, stationery, and gift stores",2196,1,2017
45321,Office supplies and stationery stores,1186,1,2017
45322,"Gift, novelty, and souvenir stores",1010,1,2017
45330,Used merchandise stores,1226,1,2017
454,Nonstore retailers,45822,1,2017
4541,Electronic shopping and mail-order houses,38057,1,2017
45431,Fuel dealers,3943,1,2017
722,Food services and drinking places,52983,1,2017
7224,Drinking places,1977,1,2017
7225,Restaurants and other eating places,46503,1,2017
722511,Full service restaurants,23690,1,2017
"722513, 722514, 722515",Limited service eating places,22813,1,2017
441,Motor vehicle and parts dealers,80898,1,2016
"44,114,412",Automobile and other motor vehicle dealers,73975,1,2016
4411,Automobile dealers,70393,1,2016
44111,New car dealers,62569,1,2016
44112,Used car dealers,7824,1,2016
4413,"Automotive parts, acc., and tire stores",6923,1,2016
"442,443","Furniture, home furn, electronics, and appliance stores",15555,1,2016
442,Furniture and home furnishings stores,8297,1,2016
4421,Furniture stores,4599,1,2016
4422,Home furnishings stores,3698,1,2016
44221,Floor covering stores,1457,1,2016
442299,All other home furnishings stores,2130,1,2016
443,Electronics and appliance stores,7258,1,2016
443141,Household appliance stores,1246,1,2016
443142,Electronics stores,6012,1,2016
444,Building mat. and garden equip. and supplies dealers,21408,1,2016
4441,Building mat. and supplies dealers,19154,1,2016
44412,Paint and wallpaper stores,677,1,2016
44413,Hardware stores,1746,1,2016
445,Food and beverage stores,56931,1,2016
4451,Grocery stores,51810,1,2016
44511,Supermarkets and other grocery (except convenience) stores,49846,1,2016
4453,"Beer, wine, and liquor stores",3488,1,2016
446,Health and personal care stores,25538,1,2016
44611,Pharmacies and drug stores,21680,1,2016
447,Gasoline stations,31048,1,2016
448,Clothing and clothing access. stores,15753,1,2016
4481,Clothing stores,11629,1,2016
44811,Men's clothing stores,604,1,2016
44812,Women's clothing stores,2413,1,2016
44814,Family clothing stores,6055,1,2016
44819,Other clothing stores,1265,1,2016
4482,Shoe stores,2163,1,2016
44831,Jewelry stores,1769,1,2016
451,"Sporting goods, hobby, musical instrument, and book stores",6427,1,2016
45111,Sporting goods stores,3104,1,2016
45112,"Hobby, toy, and game stores",1191,1,2016
451211,Book stores,1424,1,2016
452,General merchandise stores,49678,1,2016
4521,Department stores,10199,1,2016
452111,Department stores(excl. discount department stores),3162,1,2016
452112,Discount dept. stores,7037,1,2016
4529,Other general merchandise stores,39479,1,2016
45291,Warehouse clubs and superstores,34531,1,2016
45299,All other gen. merchandise stores,4948,1,2016
453,Miscellaneous store retailers,8335,1,2016
4532,"Office supplies, stationery, and gift stores",2261,1,2016
45321,Office supplies and stationery stores,1215,1,2016
45322,"Gift, novelty, and souvenir stores",1046,1,2016
45330,Used merchandise stores,1173,1,2016
454,Nonstore retailers,40319,1,2016
4541,Electronic shopping and mail-order houses,33172,1,2016
45431,Fuel dealers,3560,1,2016
722,Food services and drinking places,50021,1,2016
7224,Drinking places,1876,1,2016
7225,Restaurants and other eating places,44091,1,2016
722511,Full service restaurants,22883,1,2016
"722513, 722514, 722515",Limited service eating places,21208,1,2016
441,Motor vehicle and parts dealers,97828,2,2020
"44,114,412",Automobile and other motor vehicle dealers,90586,2,2020
4411,Automobile dealers,85140,2,2020
44111,New car dealers,74360,2,2020
44112,Used car dealers,10780,2,2020
4413,"Automotive parts, acc., and tire stores",7242,2,2020
"442,443","Furniture, home furn, electronics, and appliance stores",16139,2,2020
442,Furniture and home furnishings stores,9452,2,2020
4421,Furniture stores,5287,2,2020
4422,Home furnishings stores,4165,2,2020
44221,Floor covering stores,0,2,2020
442299,All other home furnishings stores,2211,2,2020
443,Electronics and appliance stores,6687,2,2020
443141,Household appliance stores,1234,2,2020
443142,Electronics stores,5453,2,2020
444,Building mat. and garden equip. and supplies dealers,26237,2,2020
4441,Building mat. and supplies dealers,23025,2,2020
44412,Paint and wallpaper stores,920,2,2020
44413,Hardware stores,1954,2,2020
445,Food and beverage stores,61962,2,2020
4451,Grocery stores,55870,2,2020
44511,Supermarkets and other grocery (except convenience) stores,53306,2,2020
4453,"Beer, wine, and liquor stores",4318,2,2020
446,Health and personal care stores,27756,2,2020
44611,Pharmacies and drug stores,23183,2,2020
