Code,KB,Sales,Month,Year
4411,Automobile dealers,94814,3,2019
44111,New car dealers,82564,3,2019
44112,Used car dealers,12250,3,2019
4413,"Automotive parts, acc., and tire stores",8428,3,2019
"442,443","Furniture, home furn, electronics, and appliance stores",17210,3,2019
442,Furniture and home furnishings stores,10018,3,2019
4421,Furniture stores,5503,3,2019
4422,Home furnishings stores,4515,3,2019
44221,Floor covering stores,0,3,2019
442299,All other home furnishings stores,2353,3,2019
443,Electronics and appliance stores,7192,3,2019
443141,Household appliance stores,1334,3,2019
443142,Electronics stores,5858,3,2019
444,Building mat. and garden equip. and supplies dealers,29916,3,2019
4441,Building mat. and supplies dealers,25871,3,2019
44412,Paint and wallpaper stores,1029,3,2019
44413,Hardware stores,2340,3,2019
445,Food and beverage stores,63504,3,2019
4451,Grocery stores,57216,3,2019
44511,Supermarkets and other grocery (except convenience) stores,54609,3,2019
4453,"Beer, wine, and liquor stores",4445,3,2019
446,Health and personal care stores,28786,3,2019
44611,Pharmacies and drug stores,23599,3,2019
447,Gasoline stations,42065,3,2019
448,Clothing and clothing access. stores,22059,3,2019
4481,Clothing stores,16212,3,2019
44811,Men's clothing stores,733,3,2019
44812,Women's clothing stores,3430,3,2019
44814,Family clothing stores,9058,3,2019
44819,Other clothing stores,1458,3,2019
4482,Shoe stores,3383,3,2019
44831,Jewelry stores,2197,3,2019
451,"Sporting goods, hobby, musical instrument, and book stores",6353,3,2019
45111,Sporting goods stores,3700,3,2019
45112,"Hobby, toy, and game stores",1265,3,2019
451211,Book stores,603,3,2019
452,General merchandise stores,58788,3,2019
4521,Department stores,10615,3,2019
452111,Department stores(excl. discount department stores),3080,3,2019
452112,Discount dept. stores,7535,3,2019
4529,Other general merchandise stores,48173,3,2019
45291,Warehouse clubs and superstores,41608,3,2019
45299,All other gen. merchandise stores,6565,3,2019
453,Miscellaneous store retailers,10028,3,2019
4532,"Office supplies, stationery, and gift stores",2154,3,2019
45321,Office supplies and stationery stores,889,3,2019
45322,"Gift, novelty, and souvenir stores",1265,3,2019
45330,Used merchandise stores,1526,3,2019
454,Nonstore retailers,58091,3,2019
4541,Electronic shopping and mail-order houses,49797,3,2019
45431,Fuel dealers,3738,3,2019
722,Food services and drinking places,66690,3,2019
7224,Drinking places,0,3,2019
7225,Restaurants and other eating places,58242,3,2019
722511,Full service restaurants,28567,3,2019
"722513, 722514, 722515",Limited service eating places,29675,3,2019
441,Motor vehicle and parts dealers,109760,3,2018
"44,114,412",Automobile and other motor vehicle dealers,101441,3,2018
4411,Automobile dealers,94586,3,2018
44111,New car dealers,83075,3,2018
44112,Used car dealers,11511,3,2018
4413,"Automotive parts, acc., and tire stores",8319,3,2018
"442,443","Furniture, home furn, electronics, and appliance stores",17766,3,2018
442,Furniture and home furnishings stores,10185,3,2018
4421,Furniture stores,5669,3,2018
4422,Home furnishings stores,4516,3,2018
44221,Floor covering stores,0,3,2018
442299,All other home furnishings stores,2351,3,2018
443,Electronics and appliance stores,7581,3,2018
443141,Household appliance stores,1415,3,2018
443142,Electronics stores,6166,3,2018
444,Building mat. and garden equip. and supplies dealers,29753,3,2018
4441,Building mat. and supplies dealers,25690,3,2018
44412,Paint and wallpaper stores,994,3,2018
44413,Hardware stores,2317,3,2018
445,Food and beverage stores,63791,3,2018
4451,Grocery stores,57356,3,2018
44511,Supermarkets and other grocery (except convenience) stores,54758,3,2018
4453,"Beer, wine, and liquor stores",4436,3,2018
446,Health and personal care stores,28477,3,2018
44611,Pharmacies and drug stores,23426,3,2018
447,Gasoline stations,42186,3,2018
448,Clothing and clothing access. stores,22207,3,2018
4481,Clothing stores,16382,3,2018
44811,Men's clothing stores,774,3,2018
44812,Women's clothing stores,3429,3,2018
44814,Family clothing stores,9081,3,2018
44819,Other clothing stores,1471,3,2018
4482,Shoe stores,3275,3,2018
44831,Jewelry stores,2293,3,2018
451,"Sporting goods, hobby, musical instrument, and book stores",7049,3,2018
45111,Sporting goods stores,3853,3,2018
45112,"Hobby, toy, and game stores",1720,3,2018
451211,Book stores,665,3,2018
452,General merchandise stores,59068,3,2018
4521,Department stores,11481,3,2018
452111,Department stores(excl. discount department stores),3643,3,2018
452112,Discount dept. stores,7838,3,2018
4529,Other general merchandise stores,47587,3,2018
45291,Warehouse clubs and superstores,41098,3,2018
45299,All other gen. merchandise stores,6489,3,2018
453,Miscellaneous store retailers,10348,3,2018
4532,"Office supplies, stationery, and gift stores",2311,3,2018
45321,Office supplies and stationery stores,950,3,2018
45322,"Gift, novelty, and souvenir stores",1361,3,2018
45330,Used merchandise stores,1544,3,2018
454,Nonstore retailers,54589,3,2018
4541,Electronic shopping and mail-order houses,46222,3,2018
45431,Fuel dealers,3582,3,2018
722,Food services and drinking places,63389,3,2018
7224,Drinking places,0,3,2018
7225,Restaurants and other eating places,55287,3,2018
722511,Full service restaurants,27766,3,2018
"722513, 722514, 722515",Limited service eating places,27521,3,2018
441,Motor vehicle and parts dealers,106286,3,2017
"44,114,412",Automobile and other motor vehicle dealers,97923,3,2017
4411,Automobile dealers,91087,3,2017
44111,New car dealers,79946,3,2017
44112,Used car dealers,11141,3,2017
4413,"Automotive parts, acc., and tire stores",8363,3,2017
"442,443","Furniture, home furn, electronics, and appliance stores",17310,3,2017
442,Furniture and home furnishings stores,9815,3,2017
4421,Furniture stores,5476,3,2017
4422,Home furnishings stores,4339,3,2017
44221,Floor covering stores,0,3,2017
442299,All other home furnishings stores,2317,3,2017
443,Electronics and appliance stores,7495,3,2017
443141,Household appliance stores,1493,3,2017
443142,Electronics stores,6002,3,2017
444,Building mat. and garden equip. and supplies dealers,29230,3,2017
4441,Building mat. and supplies dealers,25217,3,2017
44412,Paint and wallpaper stores,978,3,2017
44413,Hardware stores,2127,3,2017
445,Food and beverage stores,60237,3,2017
4451,Grocery stores,54366,3,2017
44511,Supermarkets and other grocery (except convenience) stores,52090,3,2017
4453,"Beer, wine, and liquor stores",4074,3,2017
446,Health and personal care stores,27499,3,2017
44611,Pharmacies and drug stores,22640,3,2017
447,Gasoline stations,39103,3,2017
448,Clothing and clothing access. stores,21332,3,2017
4481,Clothing stores,15785,3,2017
44811,Men's clothing stores,797,3,2017
44812,Women's clothing stores,3364,3,2017
44814,Family clothing stores,8372,3,2017
44819,Other clothing stores,1579,3,2017
4482,Shoe stores,3233,3,2017
44831,Jewelry stores,2101,3,2017
451,"Sporting goods, hobby, musical instrument, and book stores",6623,3,2017
45111,Sporting goods stores,3780,3,2017
45112,"Hobby, toy, and game stores",1355,3,2017
451211,Book stores,690,3,2017
452,General merchandise stores,55762,3,2017
4521,Department stores,11630,3,2017
452111,Department stores(excl. discount department stores),3768,3,2017
452112,Discount dept. stores,7862,3,2017
4529,Other general merchandise stores,44132,3,2017
45291,Warehouse clubs and superstores,37986,3,2017
45299,All other gen. merchandise stores,6146,3,2017
453,Miscellaneous store retailers,9919,3,2017
4532,"Office supplies, stationery, and gift stores",2291,3,2017
45321,Office supplies and stationery stores,1058,3,2017
45322,"Gift, novelty, and souvenir stores",1233,3,2017
45330,Used merchandise stores,1426,3,2017
454,Nonstore retailers,49590,3,2017
4541,Electronic shopping and mail-order houses,41820,3,2017
45431,Fuel dealers,3371,3,2017
722,Food services and drinking places,60191,3,2017
7224,Drinking places,2278,3,2017
7225,Restaurants and other eating places,52531,3,2017
722511,Full service restaurants,26690,3,2017
"722513, 722514, 722515",Limited service eating places,25841,3,2017
441,Motor vehicle and parts dealers,101208,3,2016
"44,114,412",Automobile and other motor vehicle dealers,93030,3,2016
4411,Automobile dealers,86386,3,2016
44111,New car dealers,76194,3,2016
44112,Used car dealers,10192,3,2016
4413,"Automotive parts, acc., and tire stores",8178,3,2016
"442,443","Furniture, home furn, electronics, and appliance stores",16967,3,2016
442,Furniture and home furnishings stores,9402,3,2016
4421,Furniture stores,5197,3,2016
4422,Home furnishings stores,4205,3,2016
44221,Floor covering stores,1780,3,2016
442299,All other home furnishings stores,2283,3,2016
443,Electronics and appliance stores,7565,3,2016
443141,Household appliance stores,1411,3,2016
443142,Electronics stores,6154,3,2016
444,Building mat. and garden equip. and supplies dealers,29101,3,2016
4441,Building mat. and supplies dealers,24796,3,2016
44412,Paint and wallpaper stores,931,3,2016
44413,Hardware stores,2123,3,2016
445,Food and beverage stores,58086,3,2016
4451,Grocery stores,52254,3,2016
44511,Supermarkets and other grocery (except convenience) stores,50065,3,2016
4453,"Beer, wine, and liquor stores",3907,3,2016
446,Health and personal care stores,27682,3,2016
44611,Pharmacies and drug stores,23016,3,2016
447,Gasoline stations,33586,3,2016
448,Clothing and clothing access. stores,21555,3,2016
4481,Clothing stores,15945,3,2016
44811,Men's clothing stores,767,3,2016
44812,Women's clothing stores,3565,3,2016
44814,Family clothing stores,8448,3,2016
44819,Other clothing stores,1483,3,2016
4482,Shoe stores,3238,3,2016
44831,Jewelry stores,2129,3,2016
451,"Sporting goods, hobby, musical instrument, and book stores",6923,3,2016
45111,Sporting goods stores,4075,3,2016
45112,"Hobby, toy, and game stores",1374,3,2016
451211,Book stores,681,3,2016
452,General merchandise stores,56375,3,2016
4521,Department stores,12568,3,2016
452111,Department stores(excl. discount department stores),4289,3,2016
452112,Discount dept. stores,8279,3,2016
4529,Other general merchandise stores,43807,3,2016
45291,Warehouse clubs and superstores,37820,3,2016
45299,All other gen. merchandise stores,5987,3,2016
453,Miscellaneous store retailers,9714,3,2016
4532,"Office supplies, stationery, and gift stores",2379,3,2016
45321,Office supplies and stationery stores,1136,3,2016
45322,"Gift, novelty, and souvenir stores",1243,3,2016
45330,Used merchandise stores,1307,3,2016
454,Nonstore retailers,43853,3,2016
4541,Electronic shopping and mail-order houses,37066,3,2016
45431,Fuel dealers,2566,3,2016
722,Food services and drinking places,55860,3,2016
7224,Drinking places,2039,3,2016
7225,Restaurants and other eating places,49144,3,2016
722511,Full service restaurants,24876,3,2016
"722513, 722514, 722515",Limited service eating places,24268,3,2016
441,Motor vehicle and parts dealers,69534,4,2020
"44,114,412",Automobile and other motor vehicle dealers,62554,4,2020
4411,Automobile dealers,56635,4,2020
44111,New car dealers,50131,4,2020
44112,Used car dealers,6504,4,2020
4413,"Automotive parts, acc., and tire stores",6980,4,2020
"442,443","Furniture, home furn, electronics, and appliance stores",7017,4,2020
442,Furniture and home furnishings stores,3977,4,2020
4421,Furniture stores,2004,4,2020
4422,Home furnishings stores,1973,4,2020
44221,Floor covering stores,0,4,2020
442299,All other home furnishings stores,403,4,2020
443,Electronics and appliance stores,3040,4,2020
443141,Household appliance stores,1128,4,2020
443142,Electronics stores,1912,4,2020
444,Building mat. and garden equip. and supplies dealers,35916,4,2020
4441,Building mat. and supplies dealers,30023,4,2020
44412,Paint and wallpaper stores,947,4,2020
44413,Hardware stores,2839,4,2020
445,Food and beverage stores,71064,4,2020
4451,Grocery stores,64383,4,2020
44511,Supermarkets and other grocery (except convenience) stores,62127,4,2020
4453,"Beer, wine, and liquor stores",4938,4,2020
446,Health and personal care stores,25724,4,2020
44611,Pharmacies and drug stores,23910,4,2020
447,Gasoline stations,26810,4,2020
448,Clothing and clothing access. stores,2744,4,2020
4481,Clothing stores,1736,4,2020
44811,Men's clothing stores,86,4,2020
44812,Women's clothing stores,469,4,2020
44814,Family clothing stores,688,4,2020
44819,Other clothing stores,248,4,2020
4482,Shoe stores,462,4,2020
44831,Jewelry stores,511,4,2020
451,"Sporting goods, hobby, musical instrument, and book stores",3484,4,2020
45111,Sporting goods stores,2599,4,2020
45112,"Hobby, toy, and game stores",360,4,2020
451211,Book stores,169,4,2020
452,General merchandise stores,54576,4,2020
4521,Department stores,5941,4,2020
452111,Department stores(excl. discount department stores),11,4,2020
452112,Discount dept. stores,5930,4,2020
4529,Other general merchandise stores,48635,4,2020
45291,Warehouse clubs and superstores,41322,4,2020
45299,All other gen. merchandise stores,7313,4,2020
453,Miscellaneous store retailers,7319,4,2020
4532,"Office supplies, stationery, and gift stores",816,4,2020
45321,Office supplies and stationery stores,605,4,2020
45322,"Gift, novelty, and souvenir stores",211,4,2020
45330,Used merchandise stores,420,4,2020
454,Nonstore retailers,73022,4,2020
4541,Electronic shopping and mail-order houses,67339,4,2020
45431,Fuel dealers,2069,4,2020
722,Food services and drinking places,30017,4,2020
7224,Drinking places,0,4,2020
7225,Restaurants and other eating places,27674,4,2020
722511,Full service restaurants,0,4,2020
"722513, 722514, 722515",Limited service eating places,20001,4,2020
441,Motor vehicle and parts dealers,103370,4,2019
"44,114,412",Automobile and other motor vehicle dealers,95090,4,2019
4411,Automobile dealers,87537,4,2019
44111,New car dealers,76907,4,2019
44112,Used car dealers,10630,4,2019
4413,"Automotive parts, acc., and tire stores",8280,4,2019
"442,443","Furniture, home furn, electronics, and appliance stores",16068,4,2019
442,Furniture and home furnishings stores,9579,4,2019
4421,Furniture stores,5065,4,2019
4422,Home furnishings stores,4514,4,2019
44221,Floor covering stores,0,4,2019
442299,All other home furnishings stores,2300,4,2019
443,Electronics and appliance stores,6489,4,2019
443141,Household appliance stores,1310,4,2019
443142,Electronics stores,5179,4,2019
444,Building mat. and garden equip. and supplies dealers,34033,4,2019
4441,Building mat. and supplies dealers,29233,4,2019
44412,Paint and wallpaper stores,982,4,2019
44413,Hardware stores,2517,4,2019
445,Food and beverage stores,62402,4,2019
4451,Grocery stores,56053,4,2019
44511,Supermarkets and other grocery (except convenience) stores,53382,4,2019
4453,"Beer, wine, and liquor stores",4358,4,2019
446,Health and personal care stores,28402,4,2019
44611,Pharmacies and drug stores,23766,4,2019
447,Gasoline stations,44270,4,2019
448,Clothing and clothing access. stores,21500,4,2019
4481,Clothing stores,15820,4,2019
44811,Men's clothing stores,846,4,2019
44812,Women's clothing stores,3438,4,2019
44814,Family clothing stores,8747,4,2019
44819,Other clothing stores,1285,4,2019
4482,Shoe stores,3043,4,2019
44831,Jewelry stores,2378,4,2019
451,"Sporting goods, hobby, musical instrument, and book stores",6253,4,2019
45111,Sporting goods stores,3678,4,2019
45112,"Hobby, toy, and game stores",1159,4,2019
451211,Book stores,650,4,2019
452,General merchandise stores,56991,4,2019
4521,Department stores,10422,4,2019
452111,Department stores(excl. discount department stores),3098,4,2019
452112,Discount dept. stores,7324,4,2019
4529,Other general merchandise stores,46569,4,2019
45291,Warehouse clubs and superstores,39923,4,2019
45299,All other gen. merchandise stores,6646,4,2019
453,Miscellaneous store retailers,10492,4,2019
4532,"Office supplies, stationery, and gift stores",2166,4,2019
45321,Office supplies and stationery stores,848,4,2019
45322,"Gift, novelty, and souvenir stores",1318,4,2019
45330,Used merchandise stores,1583,4,2019
454,Nonstore retailers,59140,4,2019
4541,Electronic shopping and mail-order houses,51785,4,2019
45431,Fuel dealers,2612,4,2019
722,Food services and drinking places,63999,4,2019
7224,Drinking places,0,4,2019
7225,Restaurants and other eating places,55676,4,2019
722511,Full service restaurants,27052,4,2019
"722513, 722514, 722515",Limited service eating places,28624,4,2019
441,Motor vehicle and parts dealers,99466,4,2018
"44,114,412",Automobile and other motor vehicle dealers,91695,4,2018
4411,Automobile dealers,84366,4,2018
44111,New car dealers,74595,4,2018
44112,Used car dealers,9771,4,2018
4413,"Automotive parts, acc., and tire stores",7771,4,2018
"442,443","Furniture, home furn, electronics, and appliance stores",16200,4,2018
442,Furniture and home furnishings stores,9365,4,2018
4421,Furniture stores,5011,4,2018
4422,Home furnishings stores,4354,4,2018
44221,Floor covering stores,0,4,2018
442299,All other home furnishings stores,2183,4,2018
443,Electronics and appliance stores,6835,4,2018
443141,Household appliance stores,1315,4,2018
443142,Electronics stores,5520,4,2018
444,Building mat. and garden equip. and supplies dealers,32034,4,2018
4441,Building mat. and supplies dealers,27423,4,2018
44412,Paint and wallpaper stores,1016,4,2018
44413,Hardware stores,2362,4,2018
445,Food and beverage stores,59571,4,2018
4451,Grocery stores,53647,4,2018
44511,Supermarkets and other grocery (except convenience) stores,50995,4,2018
4453,"Beer, wine, and liquor stores",4143,4,2018
446,Health and personal care stores,27155,4,2018
44611,Pharmacies and drug stores,22611,4,2018
447,Gasoline stations,42573,4,2018
448,Clothing and clothing access. stores,20463,4,2018
4481,Clothing stores,14945,4,2018
44811,Men's clothing stores,830,4,2018
44812,Women's clothing stores,3325,4,2018
44814,Family clothing stores,8070,4,2018
44819,Other clothing stores,1268,4,2018
4482,Shoe stores,2920,4,2018
44831,Jewelry stores,2348,4,2018
451,"Sporting goods, hobby, musical instrument, and book stores",6329,4,2018
45111,Sporting goods stores,3597,4,2018
45112,"Hobby, toy, and game stores",1358,4,2018
451211,Book stores,638,4,2018
452,General merchandise stores,53805,4,2018
4521,Department stores,10567,4,2018
452111,Department stores(excl. discount department stores),3551,4,2018
452112,Discount dept. stores,7016,4,2018
4529,Other general merchandise stores,43238,4,2018
45291,Warehouse clubs and superstores,37228,4,2018
45299,All other gen. merchandise stores,6010,4,2018
453,Miscellaneous store retailers,10121,4,2018
4532,"Office supplies, stationery, and gift stores",2193,4,2018
45321,Office supplies and stationery stores,859,4,2018
45322,"Gift, novelty, and souvenir stores",1334,4,2018
45330,Used merchandise stores,1437,4,2018
454,Nonstore retailers,52528,4,2018
4541,Electronic shopping and mail-order houses,45015,4,2018
45431,Fuel dealers,2818,4,2018
722,Food services and drinking places,60128,4,2018
7224,Drinking places,0,4,2018
7225,Restaurants and other eating places,52178,4,2018
722511,Full service restaurants,25987,4,2018
"722513, 722514, 722515",Limited service eating places,26191,4,2018
441,Motor vehicle and parts dealers,97312,4,2017
"44,114,412",Automobile and other motor vehicle dealers,89632,4,2017
4411,Automobile dealers,82252,4,2017
44111,New car dealers,72863,4,2017
44112,Used car dealers,9389,4,2017
4413,"Automotive parts, acc., and tire stores",7680,4,2017
"442,443","Furniture, home furn, electronics, and appliance stores",15399,4,2017
442,Furniture and home furnishings stores,8726,4,2017
4421,Furniture stores,4749,4,2017
4422,Home furnishings stores,3977,4,2017
44221,Floor covering stores,0,4,2017
442299,All other home furnishings stores,2117,4,2017
443,Electronics and appliance stores,6673,4,2017
443141,Household appliance stores,1350,4,2017
443142,Electronics stores,5323,4,2017
444,Building mat. and garden equip. and supplies dealers,31259,4,2017
4441,Building mat. and supplies dealers,25962,4,2017
44412,Paint and wallpaper stores,935,4,2017
44413,Hardware stores,2208,4,2017
445,Food and beverage stores,59605,4,2017
4451,Grocery stores,53635,4,2017
44511,Supermarkets and other grocery (except convenience) stores,51267,4,2017
4453,"Beer, wine, and liquor stores",4077,4,2017
446,Health and personal care stores,25819,4,2017
44611,Pharmacies and drug stores,21612,4,2017
447,Gasoline stations,39460,4,2017
448,Clothing and clothing access. stores,21143,4,2017
4481,Clothing stores,15683,4,2017
44811,Men's clothing stores,834,4,2017
44812,Women's clothing stores,3496,4,2017
44814,Family clothing stores,8440,4,2017
44819,Other clothing stores,1376,4,2017
4482,Shoe stores,3076,4,2017
44831,Jewelry stores,2172,4,2017
451,"Sporting goods, hobby, musical instrument, and book stores",6339,4,2017
45111,Sporting goods stores,3645,4,2017
45112,"Hobby, toy, and game stores",1278,4,2017
451211,Book stores,712,4,2017
452,General merchandise stores,55651,4,2017
4521,Department stores,11460,4,2017
452111,Department stores(excl. discount department stores),3789,4,2017
452112,Discount dept. stores,7671,4,2017
4529,Other general merchandise stores,44191,4,2017
45291,Warehouse clubs and superstores,38044,4,2017
45299,All other gen. merchandise stores,6147,4,2017
453,Miscellaneous store retailers,9692,4,2017
4532,"Office supplies, stationery, and gift stores",2206,4,2017
45321,Office supplies and stationery stores,920,4,2017
45322,"Gift, novelty, and souvenir stores",1286,4,2017
45330,Used merchandise stores,1321,4,2017
454,Nonstore retailers,45486,4,2017
4541,Electronic shopping and mail-order houses,39274,4,2017
45431,Fuel dealers,2129,4,2017
722,Food services and drinking places,58623,4,2017
7224,Drinking places,2119,4,2017
7225,Restaurants and other eating places,50905,4,2017
722511,Full service restaurants,25741,4,2017
"722513, 722514, 722515",Limited service eating places,25164,4,2017
441,Motor vehicle and parts dealers,97738,4,2016
"44,114,412",Automobile and other motor vehicle dealers,90067,4,2016
4411,Automobile dealers,83117,4,2016
44111,New car dealers,73798,4,2016
44112,Used car dealers,9319,4,2016
4413,"Automotive parts, acc., and tire stores",7671,4,2016
"442,443","Furniture, home furn, electronics, and appliance stores",15464,4,2016
442,Furniture and home furnishings stores,8734,4,2016
4421,Furniture stores,4716,4,2016
4422,Home furnishings stores,4018,4,2016
44221,Floor covering stores,1727,4,2016
442299,All other home furnishings stores,2141,4,2016
443,Electronics and appliance stores,6730,4,2016
443141,Household appliance stores,1334,4,2016
443142,Electronics stores,5396,4,2016
444,Building mat. and garden equip. and supplies dealers,31497,4,2016
4441,Building mat. and supplies dealers,26164,4,2016
44412,Paint and wallpaper stores,944,4,2016
44413,Hardware stores,2159,4,2016
445,Food and beverage stores,56266,4,2016
4451,Grocery stores,50543,4,2016
44511,Supermarkets and other grocery (except convenience) stores,48356,4,2016
4453,"Beer, wine, and liquor stores",3966,4,2016
446,Health and personal care stores,26302,4,2016
44611,Pharmacies and drug stores,22120,4,2016
447,Gasoline stations,35277,4,2016
448,Clothing and clothing access. stores,20493,4,2016
4481,Clothing stores,15042,4,2016
44811,Men's clothing stores,792,4,2016
44812,Women's clothing stores,3429,4,2016
44814,Family clothing stores,7971,4,2016
44819,Other clothing stores,1378,4,2016
4482,Shoe stores,2915,4,2016
44831,Jewelry stores,2276,4,2016
451,"Sporting goods, hobby, musical instrument, and book stores",6499,4,2016
45111,Sporting goods stores,3792,4,2016
45112,"Hobby, toy, and game stores",1250,4,2016
451211,Book stores,671,4,2016
452,General merchandise stores,53822,4,2016
4521,Department stores,11647,4,2016
452111,Department stores(excl. discount department stores),4076,4,2016
452112,Discount dept. stores,7571,4,2016
4529,Other general merchandise stores,42175,4,2016
45291,Warehouse clubs and superstores,36557,4,2016
45299,All other gen. merchandise stores,5618,4,2016
453,Miscellaneous store retailers,9789,4,2016
4532,"Office supplies, stationery, and gift stores",2381,4,2016
45321,Office supplies and stationery stores,1065,4,2016
45322,"Gift, novelty, and souvenir stores",1316,4,2016
45330,Used merchandise stores,1318,4,2016
454,Nonstore retailers,41619,4,2016
4541,Electronic shopping and mail-order houses,35531,4,2016
45431,Fuel dealers,1973,4,2016
722,Food services and drinking places,56355,4,2016
7224,Drinking places,2002,4,2016
7225,Restaurants and other eating places,48965,4,2016
722511,Full service restaurants,24833,4,2016
"722513, 722514, 722515",Limited service eating places,24132,4,2016
441,Motor vehicle and parts dealers,107362,5,2020
"44,114,412",Automobile and other motor vehicle dealers,98852,5,2020
4411,Automobile dealers,88480,5,2020
44111,New car dealers,77773,5,2020
44112,Used car dealers,10707,5,2020
4413,"Automotive parts, acc., and tire stores",8510,5,2020
"442,443","Furniture, home furn, electronics, and appliance stores",11301,5,2020
442,Furniture and home furnishings stores,7349,5,2020
4421,Furniture stores,4259,5,2020
4422,Home furnishings stores,3090,5,2020
44221,Floor covering stores,0,5,2020
442299,All other home furnishings stores,1276,5,2020
443,Electronics and appliance stores,3952,5,2020
443141,Household appliance stores,1441,5,2020
443142,Electronics stores,2511,5,2020
444,Building mat. and garden equip. and supplies dealers,42422,5,2020
4441,Building mat. and supplies dealers,35986,5,2020
44412,Paint and wallpaper stores,1092,5,2020
44413,Hardware stores,3495,5,2020
445,Food and beverage stores,76438,5,2020
4451,Grocery stores,68436,5,2020
44511,Supermarkets and other grocery (except convenience) stores,65735,5,2020
4453,"Beer, wine, and liquor stores",5950,5,2020
446,Health and personal care stores,26251,5,2020
44611,Pharmacies and drug stores,23648,5,2020
447,Gasoline stations,32045,5,2020
448,Clothing and clothing access. stores,8787,5,2020
4481,Clothing stores,5504,5,2020
44811,Men's clothing stores,155,5,2020
44812,Women's clothing stores,1099,5,2020
44814,Family clothing stores,3089,5,2020
44819,Other clothing stores,569,5,2020
4482,Shoe stores,1624,5,2020
44831,Jewelry stores,1557,5,2020
451,"Sporting goods, hobby, musical instrument, and book stores",6353,5,2020
45111,Sporting goods stores,4378,5,2020
45112,"Hobby, toy, and game stores",1120,5,2020
451211,Book stores,275,5,2020
452,General merchandise stores,63381,5,2020
4521,Department stores,8768,5,2020
452111,Department stores(excl. discount department stores),1049,5,2020
452112,Discount dept. stores,7719,5,2020
4529,Other general merchandise stores,54613,5,2020
45291,Warehouse clubs and superstores,46287,5,2020
45299,All other gen. merchandise stores,8326,5,2020
453,Miscellaneous store retailers,9812,5,2020
4532,"Office supplies, stationery, and gift stores",1220,5,2020
45321,Office supplies and stationery stores,707,5,2020
45322,"Gift, novelty, and souvenir stores",513,5,2020
45330,Used merchandise stores,882,5,2020
454,Nonstore retailers,78134,5,2020
4541,Electronic shopping and mail-order houses,72558,5,2020
45431,Fuel dealers,1741,5,2020
722,Food services and drinking places,42321,5,2020
7224,Drinking places,0,5,2020
7225,Restaurants and other eating places,39803,5,2020
722511,Full service restaurants,0,5,2020
"722513, 722514, 722515",Limited service eating places,26498,5,2020
441,Motor vehicle and parts dealers,111785,5,2019
"44,114,412",Automobile and other motor vehicle dealers,103213,5,2019
4411,Automobile dealers,94742,5,2019
44111,New car dealers,83937,5,2019
44112,Used car dealers,10805,5,2019
4413,"Automotive parts, acc., and tire stores",8572,5,2019
"442,443","Furniture, home furn, electronics, and appliance stores",17408,5,2019
442,Furniture and home furnishings stores,10296,5,2019
4421,Furniture stores,5566,5,2019
4422,Home furnishings stores,4730,5,2019
44221,Floor covering stores,0,5,2019
442299,All other home furnishings stores,2480,5,2019
443,Electronics and appliance stores,7112,5,2019
443141,Household appliance stores,1471,5,2019
443142,Electronics stores,5641,5,2019
444,Building mat. and garden equip. and supplies dealers,37235,5,2019
4441,Building mat. and supplies dealers,32196,5,2019
44412,Paint and wallpaper stores,1192,5,2019
44413,Hardware stores,2821,5,2019
445,Food and beverage stores,66510,5,2019
4451,Grocery stores,59656,5,2019
44511,Supermarkets and other grocery (except convenience) stores,56715,5,2019
4453,"Beer, wine, and liquor stores",4861,5,2019
446,Health and personal care stores,29487,5,2019
44611,Pharmacies and drug stores,24612,5,2019
447,Gasoline stations,47387,5,2019
448,Clothing and clothing access. stores,23079,5,2019
4481,Clothing stores,16829,5,2019
44811,Men's clothing stores,852,5,2019
44812,Women's clothing stores,3636,5,2019
44814,Family clothing stores,9381,5,2019
44819,Other clothing stores,1395,5,2019
4482,Shoe stores,3018,5,2019
44831,Jewelry stores,2898,5,2019
451,"Sporting goods, hobby, musical instrument, and book stores",6522,5,2019
45111,Sporting goods stores,3826,5,2019
45112,"Hobby, toy, and game stores",1235,5,2019
451211,Book stores,696,5,2019
452,General merchandise stores,60909,5,2019
4521,Department stores,11267,5,2019
452111,Department stores(excl. discount department stores),3287,5,2019
452112,Discount dept. stores,7980,5,2019
4529,Other general merchandise stores,49642,5,2019
45291,Warehouse clubs and superstores,42586,5,2019
45299,All other gen. merchandise stores,7056,5,2019
453,Miscellaneous store retailers,12343,5,2019
4532,"Office supplies, stationery, and gift stores",2497,5,2019
45321,Office supplies and stationery stores,828,5,2019
45322,"Gift, novelty, and souvenir stores",1669,5,2019
45330,Used merchandise stores,1446,5,2019
454,Nonstore retailers,63232,5,2019
4541,Electronic shopping and mail-order houses,55752,5,2019
45431,Fuel dealers,2193,5,2019
722,Food services and drinking places,68306,5,2019
7224,Drinking places,0,5,2019
7225,Restaurants and other eating places,59735,5,2019
722511,Full service restaurants,29627,5,2019
"722513, 722514, 722515",Limited service eating places,30108,5,2019
441,Motor vehicle and parts dealers,109239,5,2018
"44,114,412",Automobile and other motor vehicle dealers,100854,5,2018
4411,Automobile dealers,92690,5,2018
44111,New car dealers,82342,5,2018
44112,Used car dealers,10348,5,2018
4413,"Automotive parts, acc., and tire stores",8385,5,2018
"442,443","Furniture, home furn, electronics, and appliance stores",17511,5,2018
442,Furniture and home furnishings stores,10114,5,2018
